PalestraTest.exe Information: 0 : 30/09/2017 13:28:31 || Ricerca utente 'lezione singola'
PalestraTest.exe Information: 0 : 30/09/2017 13:28:38 || Modifica dati abbonamento utente ID: '12345678'
PalestraTest.exe Information: 0 : 30/09/2017 13:28:38 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/10/2017 21:57:20 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/10/2017 21:57:22 || Controllo abbonamenti ... 
PalestraTest.exe Information: 0 : 24/10/2017 22:35:24 || Avvio applicazione
PalestraTest.exe Information: 0 : 24/10/2017 22:36:11 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/10/2017 22:44:49 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/10/2017 22:44:50 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:44:52 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:44:53 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:45:08 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:45:10 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:45:11 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:45:12 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:47:51 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:47:52 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:48:42 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:48:43 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:49:09 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 25/10/2017 21:49:10 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:49:24 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
PalestraTest.vshost.exe Error: 0 : 25/10/2017 21:49:27 || Si è verificato un errore di rete o specifico dell'istanza mentre si cercava di stabilire una connessione con SQL Server. Il server non è stato trovato o non è accessibile. Verificare che il nome dell'istanza sia corretto e che SQL Server sia configurato in modo da consentire connessioni remote. (provider: SQL Network Interfaces, error: 50 - Errore di Local Database Runtime. Non è possibile creare un'istanza automatica. Per i dettagli sull'errore, vedere il registro eventi applicazioni di Windows.
)
